source_word,target_word,source_pos,target_pos,morpheme,type,segments
jet,projet,N,V,pro,prefix,"('pro#', 'jet')"
bít,bič,V,N,č,suffix,"('bít', '#č')"
cizí,cizinec,J,N,nec,suffix,"('cizí', '#nec')"
chodit,chodba,V,N,ba,suffix,"('chodit', '#ba')"
hrad,zahrada,N,N,za,prefix,"('za#', 'hrad')"
opak,opakovat,J,V,ovat,suffix,"('opak', '#ovat')"
moct,pomoct,V,V,po,prefix,"('po#', 'moct')"
mřít,umřít,V,V,u,prefix,"('u#', 'mřít')"
jet,přijet,N,V,při,prefix,"('při#', 'jet')"
cesta,cestovat,N,V,ovat,suffix,"('cesta', '#ovat')"
hertz,gigahertz,N,N,giga,prefix,"('giga#', 'hertz')"
ledový,ledovec,J,N,ec,suffix,"('led', '#ový', '#ec')"
skloňovat,skloňování,V,N,ání,suffix,"('skloňovat', '#ání')"
pojit,připojit,V,V,při,prefix,"('při#', 'pojit')"
watt,megawatt,N,N,mega,prefix,"('mega#', 'watt')"
lama,lamí,N,J,í,suffix,"('lama', '#í')"
spokojený,spokojenost,J,N,ost,suffix,"('s#', 'pokojit', '#ený', '#ost')"
watt,gigawatt,N,N,giga,prefix,"('giga#', 'watt')"
watt,terawatt,N,N,tera,prefix,"('tera#', 'watt')"
joule,megajoule,N,N,mega,prefix,"('mega#', 'joule')"
joule,kilojoule,N,N,kilo,prefix,"('kilo#', 'joule')"
joule,terajoule,N,N,tera,prefix,"('tera#', 'joule')"
bit,megabit,N,N,mega,prefix,"('mega#', 'bit')"
číslo,číslovka,N,N,ovka,suffix,"('číslo', '#ovka')"
protivný,protivník,J,N,ník,suffix,"('protiva', '#ný', '#ník')"
lid,lidstvo,N,N,stvo,suffix,"('lid', '#stvo')"
hrdina,hrdinka,N,N,ka,suffix,"('hrdý', '#ina', '#ka')"
věda,vědec,N,N,ec,suffix,"('věda', '#ec')"
ještěr,ještěrka,N,N,ka,suffix,"('ještěr', '#ka')"
metr,kilometr,N,N,kilo,prefix,"('kilo#', 'metr')"
jmenovat,jmenovatel,V,N,tel,suffix,"('jméno', '#ovat', '#tel')"
čítat,čitatel,V,N,tel,suffix,"('čítat', '#tel')"
náchylný,náchylnost,J,N,ost,suffix,"('náchylný', '#ost')"
bor,borůvka,N,N,ka,suffix,"('bor', '#ka')"
spojit,spojka,V,N,ka,suffix,"('s#', 'pojit', '#ka')"
slovo,příslovce,N,N,pří,prefix,"('pří#', 'slovo')"
jméno,zájmeno,N,N,za,prefix,"('za#', 'jméno')"
část,částice,N,N,ice,suffix,"('část', '#ice')"
pořádat,pořadač,V,N,ač,suffix,"('pořádat', '#ač')"
přítomnost,nepřítomnost,N,N,ne,prefix,"('ne#', 'přitom', '#ný', '#ost')"
ledvinky,nadledvinky,N,N,nad,prefix,"('nad#', 'ledvinky')"
žluč,žlučník,N,N,ník,suffix,"('žluč', '#ník')"
žár,žárovka,N,N,ovka,suffix,"('žár', '#ovka')"
útočný,útočnost,J,N,ost,suffix,"('útok', '#ný', '#ost')"
vlákno,vláknina,N,N,ina,suffix,"('vlákno', '#ina')"
zaměstnat,zaměstnání,V,N,ání,suffix,"('za#', 'místo', '#ání')"
sklo,sklenice,N,N,nice,suffix,"('sklo', '#nice')"
žvýkat,žvýkačka,V,N,čka,suffix,"('žvýkat', '#čka')"
savý,savec,J,N,ec,suffix,"('sát', '#avý', '#ec')"
větrat,větrák,V,N,ák,suffix,"('větrat', '#ák')"
řezat,řezník,V,N,ník,suffix,"('řezat', '#ník')"
červená,červenka,N,N,ka,suffix,"('červená', '#ka')"
válka,válečník,N,N,ník,suffix,"('válka', '#ník')"
hostit,hostina,V,N,ina,suffix,"('host', '#it', '#ina')"
závislý,závislost,J,N,ost,suffix,"('záviset', '#lý', '#ost')"
nezávislý,nezávislost,J,N,ost,suffix,"('ne#', 'záviset', '#lý', '#ost')"
průměrný,průměrnost,J,N,ost,suffix,"('průměr', '#ný', '#ost')"
žaloba,žalobce,N,N,ce,suffix,"('žal', '#ovat', '#oba', '#ce')"
krev,krvinka,N,N,inka,suffix,"('krev', '#inka')"
hltat,hltan,V,N,an,suffix,"('hltat', '#an')"
trávit,trávení,V,N,ení,suffix,"('trávit', '#ení')"
chrupavý,chrupavka,J,N,ka,suffix,"('chrupavý', '#ka')"
kůra,korýš,N,N,ýš,suffix,"('kůra', '#ýš')"
plachta,plachetnice,N,N,nice,suffix,"('plachta', '#nice')"
měkký,měkkýš,J,N,ýš,suffix,"('měkký', '#ýš')"
vracet,zvracet,V,V,z,prefix,"('z#', 'vracet')"
nabídnout,nabídka,V,N,ka,suffix,"('nabídnout', '#ka')"
borový,borovice,J,N,ice,suffix,"('bor', '#ový', '#ice')"
sladit,sladidlo,V,N,dlo,suffix,"('s#', 'lad', '#it', '#dlo')"
sypat,sýpka,N,N,ka,suffix,"('sypat', '#ka')"
tah,výtah,N,N,vý,prefix,"('vý#', 'tah')"
ctný,ctnost,J,N,ost,suffix,"('ctný', '#ost')"
mdlít,omdlít,V,V,o,prefix,"('o#', 'mdlít')"
sladký,sladkost,J,N,ost,suffix,"('slad', '#ký', '#ost')"
poustevna,poustevník,N,N,ník,suffix,"('poustevna', '#ník')"
samota,samotář,N,N,ář,suffix,"('sám', '#ota', '#ář')"
vyprávět,vypravěč,V,N,č,suffix,"('vy#', 'pravit', '#č')"
zanedbat,zanedbání,V,N,ání,suffix,"('za#', 'nedbat', '#ání')"
nedbat,zanedbat,V,V,za,prefix,"('za#', 'nedbat')"
vrtule,vrtulník,N,N,ník,suffix,"('vrtět', '#ule', '#ník')"
tlačit,potlačit,V,V,po,prefix,"('po#', 'tlak', '#it')"
konec,konečník,N,N,ník,suffix,"('konec', '#ník')"
vzkřísit,vzkříšení,V,N,ení,suffix,"('vzkřísit', '#ení')"
lov,lovec,N,N,ec,suffix,"('lov', '#ec')"
mocnit,mocnina,V,N,ina,suffix,"('moc', '#ný', '#it', '#ina')"
hořký,hořčice,J,N,ice,suffix,"('hořký', '#ice')"
bílek,bílkovina,N,N,ovina,suffix,"('bílý', '#ek', '#ovina')"
krt,krtek,N,N,ek,suffix,"('krt', '#ek')"
masožravý,masožravec,J,N,ec,suffix,"('masožravý', '#ec')"
býložravý,býložravec,J,N,ec,suffix,"('býložravý', '#ec')"
rak,rakovina,N,N,ovina,suffix,"('rak', '#ovina')"
květ,květina,N,N,ina,suffix,"('květ', '#ina')"
hmyzožravý,hmyzožravec,J,N,ec,suffix,"('hmyzožravý', '#ec')"
zob,zobák,N,N,ák,suffix,"('zob', '#ák')"
pila,pilka,N,N,ka,suffix,"('pila', '#ka')"
tráva,trávník,N,N,ník,suffix,"('tráva', '#ník')"
hlodavý,hlodavec,J,N,ec,suffix,"('hlodat', '#avý', '#ec')"
padat,padák,V,N,ák,suffix,"('padat', '#ák')"
mravenec,mravenečník,N,N,ník,suffix,"('mravenec', '#ník')"
král,králík,N,N,ík,suffix,"('král', '#ík')"
ryba,velryba,N,N,vel,prefix,"('vel#', 'ryba')"
kukat,kukačka,V,N,čka,suffix,"('kukat', '#čka')"
síť,sítnice,N,N,nice,suffix,"('síť', '#nice')"
roh,rohovka,J,N,ovka,suffix,"('roh', '#ovka')"
duha,duhovka,N,N,ovka,suffix,"('duha', '#ovka')"
plout,ploutev,V,N,ev,suffix,"('plout', '#ev')"
kouzlo,kouzelník,N,N,ník,suffix,"('kouzlo', '#ník')"
přímý,přímka,J,N,ka,suffix,"('přímý', '#ka')"
druh,poddruh,N,N,pod,prefix,"('pod#', 'druh')"
odrůda,pododrůda,N,N,pod,prefix,"('pod#', 'od#', 'rod')"
plodit,plodný,V,J,ný,suffix,"('plod', '#it', '#ný')"
roh,paroh,J,N,pa,prefix,"('pa#', 'roh')"
čára,čárka,N,N,ka,suffix,"('čára', '#ka')"
počítat,počítač,V,N,č,suffix,"('po#', 'čítat', '#č')"
ryba,rybník,N,N,ník,suffix,"('ryba', '#ník')"
čas,počasí,N,N,po,prefix,"('po#', 'čas')"
ostrov,poloostrov,N,N,polo,prefix,"('polo#', 'ostrov')"
námořní,námořnictvo,J,N,ctvo,suffix,"('námořní', '#ctvo')"
svině,sviňucha,N,N,ucha,suffix,"('svině', '#ucha')"
teplý,teplota,J,N,ota,suffix,maximum recursion depth exceeded
hustý,hustota,J,N,ota,suffix,"('hustý', '#ota')"
sloučený,sloučenina,J,N,ina,suffix,"('sloučený', '#ina')"
mrtvý,mrtvice,N,N,ice,suffix,"('mrtvý', '#ice')"
záda,zadek,N,N,ek,suffix,"('záda', '#ek')"
srdce,srdečnice,N,N,nice,suffix,"('srdce', '#nice')"
dutý,dutina,J,N,ina,suffix,"('dutý', '#ina')"
hruď,hrudník,N,N,ník,suffix,"('hruď', '#ník')"
hruď,hrudní,N,J,ní,suffix,"('hruď', '#ní')"
mýt,mýdlo,N,N,dlo,suffix,"('mýt', '#dlo')"
světlo,světlice,N,N,ice,suffix,"('světlo', '#ice')"
štěpit,štěpení,V,N,ení,suffix,"('štěpit', '#ení')"
páv,pávice,N,N,ice,suffix,"('páv', '#ice')"
kožich,kožešina,N,N,ina,suffix,"('kožich', '#ina')"
mužství,mnohomužství,N,N,mnoho,prefix,"('mnoho#', 'muž', '#ství')"
divý,divoch,J,N,och,suffix,"('divý', '#och')"
chovat,vychovat,V,V,vy,prefix,"('vy#', 'chovat')"
měřit,měřítko,V,N,tko,suffix,"('měřit', '#tko')"
moudrý,moudrost,J,N,ost,suffix,"('moudrý', '#ost')"
činný,činnost,J,N,ost,suffix,"('čin', '#ný', '#ost')"
moucha,mšice,N,N,ice,suffix,"('moucha', '#ice')"
puchnout,puchýř,V,N,ýř,suffix,"('puchnout', '#ýř')"
plech,plechovka,N,N,ovka,suffix,"('plech', '#ovka')"
dát,udat,V,V,u,prefix,"('u#', 'dát')"
otrok,otroctví,N,N,ctví,suffix,"('otrok', '#ctví')"
neplodný,neplodnost,J,N,ost,suffix,"('ne#', 'plod', '#it', '#ný', '#ost')"
udržet,údržba,V,N,ba,suffix,"('u#', 'držet', '#ba')"
hříbě,hřebec,N,N,ec,suffix,"('hříbě', '#ec')"
strast,soustrast,N,N,sou,prefix,"('sou#', 'strast')"
cit,soucit,N,N,sou,prefix,"('sou#', 'cit')"
papoušek,papouškovat,N,V,ovat,suffix,"('papoušek', '#ovat')"
obratel,obratlovec,N,N,ovec,suffix,"('obrátit', '#el', '#ovec')"
srozumitelný,nesrozumitelný,J,J,ne,prefix,"('ne#', 'srozumitelný')"
zbytek,zbytečný,N,J,ný,suffix,"('z#', 'být', '#ek', '#ný')"
slabý,slabost,J,N,ost,suffix,"('slabý', '#ost')"
křehký,křehkost,J,N,ost,suffix,"('křehký', '#ost')"
vrása,vráska,N,N,ka,suffix,"('vrása', '#ka')"
žehlit,žehlička,V,N,čka,suffix,"('žehlit', '#čka')"
hláska,samohláska,N,N,samo,prefix,"('samo#', 'hlas', '#ka')"
hláska,souhláska,N,N,sou,prefix,"('sou#', 'hlas', '#ka')"
líný,lenost,J,N,ost,suffix,"('líný', '#ost')"
žebro,žebřík,N,N,ík,suffix,"('žebro', '#ík')"
křeč,křeček,N,N,ek,suffix,"('křeč', '#ek')"
luštit,luštěnina,V,N,ina,suffix,"('luštit', '#ina')"
mísa,miska,N,N,ka,suffix,"('mísa', '#ka')"
věk,pravěk,N,N,pra,prefix,"('pra#', 'věk')"
znak,značka,N,N,ka,suffix,"('znát', '#ák', '#ka')"
hodný,hodnota,J,N,ota,suffix,"('hod', '#ný', '#ota')"
velikáš,velikášství,N,N,ství,suffix,"('veliký', '#áš', '#ství')"
sloužit,služba,V,N,ba,suffix,"('sloužit', '#ba')"
pálit,palivo,V,N,ivo,suffix,"('pálit', '#ivo')"
konev,konvice,N,N,ice,suffix,"('konev', '#ice')"
ovládání,sebeovládání,N,N,sebe,prefix,"('sebe#', 'ovládat', '#ání')"
úzký,úzkost,J,N,ost,suffix,"('úzký', '#ost')"
sedět,sedavý,V,J,avý,suffix,"('sedět', '#avý')"
úroda,úrodný,N,J,ný,suffix,"('úroda', '#ný')"
zima,podzim,N,N,pod,prefix,"('pod#', 'zima')"
sirotek,sirotčinec,N,N,inec,suffix,"('sirotek', '#inec')"
král,královna,N,N,ovna,suffix,"('král', '#ovna')"
hořký,hořčík,J,N,ík,suffix,"('hořký', '#ík')"
vápno,vápník,N,N,ík,suffix,"('vápno', '#ík')"
soda,sodík,N,N,ík,suffix,"('soda', '#ík')"
posedlý,posedlost,J,N,ost,suffix,"('posedlý', '#ost')"
kuchař,kuchařka,N,N,ka,suffix,"('kuchyně', '#ář', '#ka')"
smažit,smažení,V,N,ení,suffix,"('smažit', '#ení')"
cukr,cukrovka,N,N,ovka,suffix,"('cukr', '#ovka')"
dusit,dušení,V,N,ení,suffix,"('dusit', '#ení')"
slepý,slepice,J,N,ice,suffix,"('slepý', '#ice')"
ukazovat,ukazovák,V,N,ák,suffix,"('ukazovat', '#ák')"
prsten,prsteník,N,N,ník,suffix,"('prst', '#en', '#ník')"
kázat,dokázat,V,V,do,prefix,"('do#', 'kázat')"
duchovní,duchovenstvo,N,N,stvo,suffix,"('duch', '#ovní', '#stvo')"
opat,opatství,N,N,ství,suffix,"('opat', '#ství')"
určit,předurčit,V,V,před,prefix,"('před#', 'u#', 'říct')"
střelit,střelec,V,N,ec,suffix,"('střelit', '#ec')"
biskup,arcibiskup,N,N,arci,prefix,"('arci#', 'biskup')"
kacíř,kacířství,N,N,ství,suffix,"('kacíř', '#ství')"
bledý,bledost,J,N,ost,suffix,"('bledý', '#ost')"
mandle,mandloň,N,N,oň,suffix,"('mandle', '#oň')"
var,vývar,N,N,vý,prefix,"('vý#', 'var')"
mozek,mezimozek,N,N,mezi,prefix,"('mezi#', 'mozek')"
žárlivý,žárlivost,J,N,ost,suffix,"('žárlit', '#ivý', '#ost')"
pravdomluvný,pravdomluvnost,J,N,ost,suffix,"('pravdomluvný', '#ost')"
pustit,opustit,V,V,o,prefix,"('o#', 'pustit')"
dát,prodat,V,V,pro,prefix,"('pro#', 'dát')"
lék,všelék,N,N,vše,prefix,"('vše#', 'lék')"
pažit,pažitka,N,N,ka,suffix,"('pa#', 'žít', '#ka')"
veslovat,veslování,V,N,ání,suffix,"('veslo', '#ovat', '#ání')"
koupel,koupelna,N,N,na,suffix,"('koupat', '#el', '#na')"
měřit,měření,V,N,ení,suffix,"('měřit', '#ení')"
jistit,zjistit,V,V,z,prefix,"('z#', 'jistý', '#it')"
hlas,rozhlas,N,N,roz,prefix,"('roz#', 'hlas')"
potěšit,potěšení,V,N,ení,suffix,"('po#', 'těšit', '#ení')"
užitek,užitečný,N,J,ný,suffix,"('užitek', '#ný')"
užitečný,užitečnost,J,N,ost,suffix,"('užitek', '#ný', '#ost')"
užít,použít,V,V,po,prefix,"('po#', 'u#', 'žít')"
užívat,uživatel,V,N,tel,suffix,"('užívat', '#tel')"
spotřeba,spotřebitel,N,N,el,suffix,"('s#', 'po#', 'třeba', '#el')"
potřebovat,spotřebovat,V,V,s,prefix,"('s#', 'po#', 'třeba', '#ovat')"
truhla,truhlář,N,N,ář,suffix,"('truhla', '#ář')"
mohoucí,všemohoucí,J,J,vše,prefix,"('vše#', 'mohoucí')"
pravý,pravice,J,N,ice,suffix,"('pravý', '#ice')"
dívat,divadlo,V,N,dlo,suffix,"('dívat', '#dlo')"
přirozený,nadpřirozený,J,J,nad,prefix,"('nad#', 'přirozeno', '#ý')"
sázka,nadsázka,N,N,nad,prefix,"('nad#', 'sázet', '#ka')"
bít,bitva,V,N,tva,suffix,"('bít', '#tva')"
boj,souboj,N,N,sou,prefix,"('sou#', 'boj')"
klad,překlad,N,N,pře,prefix,"('pře#', 'klad')"
vláda,nadvláda,N,N,nad,prefix,"('nad#', 'vláda')"
Nor,Norsko,N,N,sko,suffix,"('Nor', '#sko')"
dítě,dětství,N,N,ství,suffix,"('dítě', '#ství')"
závora,závorka,N,N,ka,suffix,"('závora', '#ka')"
tekutý,tekutina,J,N,ina,suffix,"('tekutý', '#ina')"
křesťan,křesťanství,N,N,ství,suffix,"('křest', '#an', '#ství')"
přítel,přátelství,N,N,ství,suffix,"('přítel', '#ství')"
myslit,myslitel,V,N,tel,suffix,"('mysl', '#it', '#tel')"
spolehlivý,nespolehlivý,J,J,ne,prefix,"('ne#', 'spolehlivý')"
spolehlivý,spolehlivost,J,N,ost,suffix,"('spolehlivý', '#ost')"
stát,představa,N,N,před,prefix,"('před#', 'stát')"
milovat,zamilovat,V,V,za,prefix,"('za#', 'milý', '#ovat')"
dychtit,dychtivý,V,J,ivý,suffix,"('dychtit', '#ivý')"
řídit,ředitel,V,N,tel,suffix,"('řídit', '#tel')"
tečka,dvojtečka,N,N,dvoj,prefix,"('dvoj#', 'tečka')"
výkřik,vykřičník,N,N,ník,suffix,"('vý#', 'křik', '#ník')"
vlna,vlnka,N,N,ka,suffix,"('vlna', '#ka')"
existující,neexistující,J,J,ne,prefix,"('ne#', 'existovat', '#ující')"
přerušovat,přerušovaný,V,J,aný,suffix,"('pře#', 'rušit', '#ovat', '#aný')"
manžel,manželka,N,N,ka,suffix,"('manžel', '#ka')"
trpělivý,trpělivost,J,N,ost,suffix,"('trpět', '#livý', '#ost')"
střízlivý,střízlivost,J,N,ost,suffix,"('střízlivý', '#ost')"
právo,právník,N,N,ník,suffix,"('právo', '#ník')"
soudit,soudce,V,N,ce,suffix,"('soud', '#it', '#ce')"
dobrodiní,dobrodinec,N,N,ec,suffix,"('dobrodiní', '#ec')"
hřích,hříšník,N,N,ník,suffix,"('hřích', '#ník')"
sedl,sedlák,V,N,ák,suffix,"('sedl', '#ák')"
výslovný,výslovnost,J,N,ost,suffix,"('vy#', 'slovo', '#ný', '#ost')"
popel,Popelka,N,N,ka,suffix,"('popel', '#ka')"
špína,špinavý,N,J,avý,suffix,"('špína', '#avý')"
bůh,božstvo,N,N,stvo,suffix,"('bůh', '#stvo')"
bůh,božství,N,N,ství,suffix,"('bůh', '#ství')"
uctívat,uctívání,V,N,ání,suffix,"('uctívat', '#ání')"
med,medovina,J,N,ovina,suffix,"('med', '#ovina')"
řemeslo,řemeslník,N,N,ník,suffix,"('řemeslo', '#ník')"
zvědavý,zvědavost,J,N,ost,suffix,"('z#', 'věda', '#ět', '#avý', '#ost')"
náhodný,náhodnost,J,N,ost,suffix,"('náhoda', '#ný', '#ost')"
náhoda,náhodný,N,J,ný,suffix,"('náhoda', '#ný')"
Nor,norština,N,N,ština,suffix,"('Nor', '#ština')"
povinný,povinnost,J,N,ost,suffix,"('povinný', '#ost')"
vysávat,vysavač,V,N,č,suffix,"('vysávat', '#č')"
jehličí,jehličnatý,N,J,natý,suffix,"('jehla', '#ice', '#í', '#natý')"
soudit,odsoudit,V,V,od,prefix,"('od#', 'soud', '#it')"
příslovce,příslovečný,N,J,ný,suffix,"('pří#', 'slovo', '#ný')"
prodej,prodejný,N,J,ný,suffix,"('prodej', '#ný')"
vězet,vězení,V,N,ení,suffix,"('vězet', '#ení')"
věznit,vězeň,V,N,eň,suffix,"('věznit', '#eň')"
rychlý,rychlost,J,N,ost,suffix,"('rychlý', '#ost')"
samovláda,samovládce,N,N,ce,suffix,"('samo#', 'vláda', '#ce')"
Švýcar,Švýcarsko,N,N,sko,suffix,"('Švýcar', '#sko')"
vyjednávat,vyjednávání,V,N,ání,suffix,"('vy#', 'jednat', '#ávat', '#ání')"
jednat,vyjednat,V,V,vy,prefix,"('vy#', 'jednat')"
bouře,buřinka,N,N,ka,suffix,"('bouře', '#ka')"
pomalý,pomalost,J,N,ost,suffix,"('pomalý', '#ost')"
led,lednice,N,N,nice,suffix,"('led', '#nice')"
přítel,nepřítel,N,N,ne,prefix,"('ne#', 'přítel')"
obal,obálka,N,N,ka,suffix,"('obal', '#ka')"
opilý,opilost,J,N,ost,suffix,"('o#', 'pít', '#lý', '#ost')"
konec,konečný,N,J,ný,suffix,"('konec', '#ný')"
hospodář,hospodářství,N,N,ství,suffix,"('hospodář', '#ství')"
omylný,neomylný,J,J,ne,prefix,"('ne#', 'o#', 'mýlit', '#ný')"
letět,letadlo,V,N,dlo,suffix,"('letět', '#dlo')"
skutek,skutečný,N,J,ný,suffix,"('skutek', '#ný')"
doslova,doslovný,R,J,ný,suffix,"('doslova', '#ný')"
koník,koníček,N,N,ek,suffix,"('koník', '#ek')"
říct,určit,V,V,u,prefix,"('u#', 'říct')"
počítat,spočítat,V,V,s,prefix,"('s#', 'po#', 'čítat')"
selhat,selhání,V,N,ání,suffix,"('se#', 'lhát', '#ání')"
osud,osudový,N,J,ový,suffix,"('osud', '#ový')"
osud,osudný,N,J,ný,suffix,"('osud', '#ný')"
smrtelný,nesmrtelný,J,J,ne,prefix,"('ne#', 'smrtelný')"
smrtelný,smrtelnost,J,N,ost,suffix,"('smrtelný', '#ost')"
smrtelnost,nesmrtelnost,N,N,ne,prefix,"('ne#', 'smrtelný', '#ost')"
pěší,pěšec,N,N,ec,suffix,"('pěší', '#ec')"
jezdit,jezdec,V,N,ec,suffix,"('jezdit', '#ec')"
přítomný,přítomnost,J,N,ost,suffix,"('přitom', '#ný', '#ost')"
úplatkář,úplatkářství,N,N,ství,suffix,"('úplatek', '#ář', '#ství')"
kouřit,kouření,V,N,ení,suffix,"('kouř', '#it', '#ení')"
kouřit,kouřící,V,J,cí,suffix,"('kouř', '#it', '#cí')"
stát,postava,N,N,po,prefix,"('po#', 'stát')"
mluvit,mluvnice,V,N,nice,suffix,"('mluvit', '#nice')"
oblíbený,neoblíbený,J,J,ne,prefix,"('ne#', 'oblíbený')"
možný,nemožný,J,J,ne,prefix,"('ne#', 'možný')"
proveditelný,proveditelnost,J,N,ost,suffix,"('proveditelný', '#ost')"
vyrobit,výrobce,V,N,ce,suffix,"('vy#', 'robit', '#ce')"
minulý,minulost,J,N,ost,suffix,"('minulý', '#ost')"
dar,dárek,N,N,ek,suffix,"('dar', '#ek')"
těleso,tělesný,N,J,ný,suffix,"('těleso', '#ný')"
cit,citlivý,N,J,livý,suffix,"('cit', '#livý')"
štíhlý,štíhlost,J,N,ost,suffix,"('štíhlý', '#ost')"
útlý,útlost,J,N,ost,suffix,"('u#', 'tlít', '#ost')"
spojovat,spojovník,V,N,ník,suffix,"('s#', 'pojit', '#ovat', '#ník')"
tisk,tiskárna,N,N,árna,suffix,"('tisk', '#árna')"
Nor,Norka,N,N,ka,suffix,"('Nor', '#ka')"
zákaz,zákazník,N,N,ník,suffix,"('zákaz', '#ník')"
platit,platba,V,N,ba,suffix,"('plat', '#it', '#ba')"
klávesa,klávesnice,N,N,nice,suffix,"('klávesa', '#nice')"
bouře,bouřka,N,N,ka,suffix,"('bouře', '#ka')"
společný,společnost,J,N,ost,suffix,"('spolek', '#ný', '#ost')"
hádat,hádka,V,N,ka,suffix,"('hádat', '#ka')"
žádat,žádost,V,N,ost,suffix,"('žádat', '#ost')"
odvaha,odvážný,N,J,ný,suffix,"('odvaha', '#ný')"
Bulhar,bulharština,N,N,ština,suffix,"('Bulhar', '#ština')"
Dán,dánština,N,N,ština,suffix,"('Dán', '#ština')"
Estonsko,estonština,N,N,ština,suffix,"('Estonsko', '#ština')"
Fin,finština,N,N,ština,suffix,"('Fin', '#ština')"
Francouz,francouzština,N,N,ština,suffix,"('Francouz', '#ština')"
Ir,irština,N,N,ština,suffix,"('Ir', '#ština')"
Maďar,maďarština,N,N,ština,suffix,"('Maďar', '#ština')"
Řek,řečtina,N,N,čtina,suffix,"('Řek', '#čtina')"
Litva,litevština,N,N,ština,suffix,"('Litva', '#ština')"
Lotyš,lotyština,N,N,ština,suffix,"('Lotyš', '#ština')"
Ital,italština,N,N,ština,suffix,"('Ital', '#ština')"
Malta,maltština,N,N,ština,suffix,"('Malta', '#ština')"
Švéd,švédština,N,N,ština,suffix,"('Švéd', '#ština')"
Španěl,španělština,N,N,ština,suffix,"('Španěl', '#ština')"
Rumun,rumunština,N,N,ština,suffix,"('Rumun', '#ština')"
důležitý,důležitost,J,N,ost,suffix,"('důležitý', '#ost')"
